,Rx Time (sec),Rx ADC buffer (16 bit)
0,0.03682112693786621,0
1,0.05570626258850098,0
2,0.07455897331237793,0
3,0.09334993362426758,0
4,0.11219620704650879,0
5,0.1309499740600586,0
6,0.15007519721984863,0
7,0.16867518424987793,0
8,0.18746209144592285,0
9,0.20651698112487793,0
10,0.2298729419708252,20
11,0.2444901466369629,66
12,0.2627589702606201,118
13,0.2821011543273926,173
14,0.30121803283691406,225
15,0.32062602043151855,282
16,0.3380401134490967,338
17,0.3570740222930908,392
18,0.3757741451263428,457
19,0.3945579528808594,532
20,0.4133110046386719,592
21,0.4321460723876953,650
22,0.45105409622192383,708
23,0.4700510501861572,763
24,0.48877501487731934,805
25,0.5074341297149658,846
26,0.5262701511383057,883
27,0.545119047164917,923
28,0.564453125,963
29,0.5835809707641602,999
30,0.6021041870117188,1023
31,0.6210770606994629,1023
32,0.6393799781799316,1023
33,0.6581730842590332,1022
34,0.6772129535675049,1023
35,0.6957850456237793,1023
36,0.7145001888275146,1020
37,0.7334401607513428,1023
38,0.752202033996582,1023
39,0.7710511684417725,1023
40,0.7898881435394287,1023
41,0.8088600635528564,1023
42,0.8275370597839355,1023
43,0.8465559482574463,1022
44,0.8652141094207764,1023
45,0.8839511871337891,1023
46,0.902972936630249,995
47,0.9219400882720947,960
48,0.940972089767456,899
49,0.9598140716552734,843
50,0.9783339500427246,792
51,0.997096061706543,723
52,1.0161550045013428,646
53,1.034623146057129,567
54,1.05342698097229,489
55,1.072228193283081,416
56,1.0910699367523193,337
57,1.1099143028259277,260
58,1.1286861896514893,172
59,1.1480951309204102,100
60,1.1663100719451904,27
61,1.185495138168335,0
62,1.2043941020965576,0
63,1.2235150337219238,0
64,1.2421910762786865,0
65,1.260601282119751,0
66,1.284071922302246,0
67,1.2980868816375732,0
68,1.317014217376709,0
69,1.3357360363006592,0
70,1.3546350002288818,0
71,1.3733491897583008,0
72,1.392259120941162,0
73,1.4110159873962402,0
74,1.4301271438598633,0
75,1.448728084564209,0
76,1.4675781726837158,0
77,1.4866421222686768,0
78,1.5052459239959717,17
79,1.52409029006958,78
80,1.5434420108795166,145
81,1.5621271133422852,209
82,1.580901861190796,264
83,1.5994181632995605,321
84,1.6181581020355225,383
85,1.636951208114624,437
86,1.6557481288909912,496
87,1.6745870113372803,558
88,1.693472146987915,616
89,1.7122070789337158,673
90,1.7310149669647217,727
91,1.7498509883880615,783
92,1.7686841487884521,831
93,1.7874960899353027,876
94,1.806312084197998,923
95,1.8257501125335693,965
96,1.8444430828094482,1003
97,1.864368200302124,1023
98,1.88460111618042,1023
99,1.9005320072174072,1023
100,1.9194481372833252,1022
101,1.938155174255371,1023
102,1.9570770263671875,1022
