,Rx Time (sec),Rx ADC Voltage (Volts)
0,0.03682112693786621,0.0
1,0.05570626258850098,0.0
2,0.07455897331237793,0.0
3,0.09334993362426758,0.0
4,0.11219620704650879,0.0
5,0.1309499740600586,0.0
6,0.15007519721984863,0.0
7,0.16867518424987793,0.0
8,0.18746209144592285,0.0
9,0.20651698112487793,0.0
10,0.2298729419708252,0.0634765625
11,0.2444901466369629,0.20947265625
12,0.2627589702606201,0.37451171875
13,0.2821011543273926,0.549072265625
14,0.30121803283691406,0.714111328125
15,0.32062602043151855,0.89501953125
16,0.3380401134490967,1.07275390625
17,0.3570740222930908,1.244140625
18,0.3757741451263428,1.450439453125
19,0.3945579528808594,1.6884765625
20,0.4133110046386719,1.87890625
21,0.4321460723876953,2.06298828125
22,0.45105409622192383,2.2470703125
23,0.4700510501861572,2.421630859375
24,0.48877501487731934,2.554931640625
25,0.5074341297149658,2.68505859375
26,0.5262701511383057,2.802490234375
27,0.545119047164917,2.929443359375
28,0.564453125,3.056396484375
29,0.5835809707641602,3.170654296875
30,0.6021041870117188,3.246826171875
31,0.6210770606994629,3.246826171875
32,0.6393799781799316,3.246826171875
33,0.6581730842590332,3.24365234375
34,0.6772129535675049,3.246826171875
35,0.6957850456237793,3.246826171875
36,0.7145001888275146,3.2373046875
37,0.7334401607513428,3.246826171875
38,0.752202033996582,3.246826171875
39,0.7710511684417725,3.246826171875
40,0.7898881435394287,3.246826171875
41,0.8088600635528564,3.246826171875
42,0.8275370597839355,3.246826171875
43,0.8465559482574463,3.24365234375
44,0.8652141094207764,3.246826171875
45,0.8839511871337891,3.246826171875
46,0.902972936630249,3.157958984375
47,0.9219400882720947,3.046875
48,0.940972089767456,2.853271484375
49,0.9598140716552734,2.675537109375
50,0.9783339500427246,2.513671875
51,0.997096061706543,2.294677734375
52,1.0161550045013428,2.05029296875
53,1.034623146057129,1.799560546875
54,1.05342698097229,1.552001953125
55,1.072228193283081,1.3203125
56,1.0910699367523193,1.069580078125
57,1.1099143028259277,0.8251953125
58,1.1286861896514893,0.5458984375
59,1.1480951309204102,0.3173828125
60,1.1663100719451904,0.085693359375
61,1.185495138168335,0.0
62,1.2043941020965576,0.0
63,1.2235150337219238,0.0
64,1.2421910762786865,0.0
65,1.260601282119751,0.0
66,1.284071922302246,0.0
67,1.2980868816375732,0.0
68,1.317014217376709,0.0
69,1.3357360363006592,0.0
70,1.3546350002288818,0.0
71,1.3733491897583008,0.0
72,1.392259120941162,0.0
73,1.4110159873962402,0.0
74,1.4301271438598633,0.0
75,1.448728084564209,0.0
76,1.4675781726837158,0.0
77,1.4866421222686768,0.0
78,1.5052459239959717,0.053955078125
79,1.52409029006958,0.24755859375
80,1.5434420108795166,0.460205078125
81,1.5621271133422852,0.663330078125
82,1.580901861190796,0.837890625
83,1.5994181632995605,1.018798828125
84,1.6181581020355225,1.215576171875
85,1.636951208114624,1.386962890625
86,1.6557481288909912,1.57421875
87,1.6745870113372803,1.77099609375
88,1.693472146987915,1.955078125
89,1.7122070789337158,2.135986328125
90,1.7310149669647217,2.307373046875
91,1.7498509883880615,2.485107421875
92,1.7686841487884521,2.637451171875
93,1.7874960899353027,2.7802734375
94,1.806312084197998,2.929443359375
95,1.8257501125335693,3.062744140625
96,1.8444430828094482,3.183349609375
97,1.864368200302124,3.246826171875
98,1.88460111618042,3.246826171875
99,1.9005320072174072,3.246826171875
100,1.9194481372833252,3.24365234375
101,1.938155174255371,3.246826171875
102,1.9570770263671875,3.24365234375
103,1.9757921695709229,3.246826171875
104,1.9946088790893555,3.246826171875
105,2.013413190841675,3.246826171875
106,2.0321762561798096,3.24365234375
107,2.051100015640259,3.246826171875
108,2.069918155670166,3.246826171875
109,2.0886380672454834,3.24365234375
110,2.1074931621551514,3.246826171875
111,2.126894235610962,3.246826171875
112,2.1457321643829346,3.246826171875
113,2.164541006088257,3.246826171875
114,2.18353009223938,3.240478515625
115,2.2041380405426025,3.240478515625
116,2.221173048019409,3.14208984375
117,2.23989200592041,2.970703125
118,2.2582411766052246,2.8056640625
119,2.277421236038208,2.666015625
120,2.2958102226257324,2.513671875
121,2.3146231174468994,2.332763671875
122,2.3333640098571777,2.135986328125
123,2.352260112762451,1.964599609375
124,2.371127128601074,1.7900390625
125,2.389940023422241,1.590087890625
126,2.4087140560150146,1.336181640625
127,2.4275310039520264,1.063232421875
128,2.4463019371032715,0.8505859375
129,2.465182065963745,0.65380859375
130,2.483959197998047,0.46337890625
131,2.503660202026367,0.2919921875
132,2.521904230117798,0.1142578125
133,2.541063070297241,0.0
134,2.559783935546875,0.0
135,2.5781681537628174,0.0
136,2.5977001190185547,0.0
137,2.615816116333008,0.0
138,2.634568929672241,0.0
139,2.6534290313720703,0.0
140,2.672244071960449,0.0
141,2.6909921169281006,0.0
142,2.709855079650879,0.0
143,2.728684186935425,0.0
144,2.7476003170013428,0.0
145,2.766350269317627,0.0
146,2.7851760387420654,0.0
147,2.804720878601074,0.0
148,2.8231539726257324,0.0
149,2.8421032428741455,0.0
150,2.8613200187683105,0.142822265625
151,2.8794071674346924,0.352294921875
152,2.8981971740722656,0.523681640625
153,2.9173741340637207,0.66015625
154,2.9357309341430664,0.7744140625
155,2.9545669555664062,0.891845703125
156,2.9734370708465576,1.006103515625
157,2.9924051761627197,1.114013671875
158,3.011077880859375,1.209228515625
159,3.030294179916382,1.298095703125
160,3.0487771034240723,1.380615234375
161,3.067606210708618,1.463134765625
162,3.0863659381866455,1.571044921875
163,3.1054000854492188,1.697998046875
164,3.123975992202759,1.837646484375
